Id,Nom,Bibliothèque de formes,ID de page,Contenu par,Groupe,Source de la ligne,Destination de la ligne,Source de la flèche,Destination de la flèche,Labels,Statut,Zone de texte 1,Zone de texte 2,Zone de texte 3,Zone de texte 4,Zone de texte 5,Zone de texte 6,Zone de texte 7,Zone de texte 8,Zone de texte 9,Zone de texte 10,Zone de texte 11,Zone de texte 12,Zone de texte 13,Zone de texte 14,Zone de texte 15,Zone de texte 16,Zone de texte 17,Zone de texte 18,Zone de texte 19,Zone de texte 20,Zone de texte 21,Zone de texte 22,Zone de texte 23,Zone de texte 24,Zone de texte 25,Zone de texte 26,Zone de texte 27,Zone de texte 28,Zone de texte 29,Zone de texte 30,Zone de texte 31,Zone de texte 32,Zone de texte 33,Zone de texte 34,Zone de texte 35,Zone de texte 36,Zone de texte 37,Zone de texte 38,Zone de texte 39,Zone de texte 40,Zone de texte 41,Zone de texte 42,Zone de texte 43,Zone de texte 44,Zone de texte 45,Zone de texte 46,Zone de texte 47,Zone de texte 48,Zone de texte 49,Zone de texte 50,Zone de texte 51,Zone de texte 52,Zone de texte 53,Zone de texte 54,Zone de texte 55,Zone de texte 56,Zone de texte 57,Zone de texte 58,Commentaires,Notes,Identification de la forme,SpreadsheetColumnParentKey,SpreadsheetRowParentKey
74,"Entité (clé, champ, type)",Entité-Association,2,45|49,,,,,,,,inventory_itemtracking,VX,id PK,bigint AUTO,VX,company_id FK,bigint,VX,product_id FK,bigint,VX,tracking_type,enum,VX,batch_number,varchar NULLABLE,VX,serial_number,varchar NULLABLE,VX,expiration_date,datetime NULLABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BNDjBTo8dk3Z,COLUMN,ROW
75,Rectangle,Formes Lucidspark,2,45|49,,,,,,,,"tracking_type ENUM
BATCH
SERIAL
NONE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iPDjuQRdUO~8,COLUMN,ROW
76,"Entité (clé, champ, type)",Entité-Association,2,45|49,,,,,,,,catalogue_productmodel (AbstractAudit),VX,tracking_policy,enum d=NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORDjM6EOc5QL,COLUMN,ROW
77,"Entité (clé, champ, type)",Entité-Association,2,45|49,,,,,,,,inventory_stock,VX,item_tracking_id FK,bigint NULLABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTDjwjCjShJq,COLUMN,ROW
78,"Entité (clé, champ, type)",Entité-Association,2,45|49,,,,,,,,inventory_movement,VX,item_tracking_id (FK),bigint NULLABLE d=null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZVDjmAqZc22t,COLUMN,ROW
79,"Entité (clé, champ, type)",Entité-Association,2,45|49,,,,,,,,inventory_transit,VX,item_tracking_id (FK),bigint NULLABLE d=null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZVDj3kbS4eVD,COLUMN,ROW
80,Rectangle,Formes Lucidspark,2,45|49,,,,,,,,"tracking_type ENUM
BATCH
SERIAL
NONE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yZDjZWKU00rM,COLUMN,ROW
81,Tableau,Tableaux,2,45|49,,,,,,,,access_permission (Ajout de données),codename,context,sensibility,inventory.stock.quarantine,MULTI_LOCATIONS,HIGH,inventory.stock.change_tracking_Info,LOCATION,MEDIUM,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00DjBv9PhPzW,,
82,Rectangle,Formes Lucidspark,2,3,,,,,,,,"translation ENUM
DISABLED
GENERIC
REGIONAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tJ6lthY7xxey,COLUMN,ROW
83,"Entité (clé, champ, type)",Entité-Association,2,45|54,,,,,,,,company_defaultlocations (CompanyOwned),V1,id PK,biging,V1,"company_id FK 
(de CompanyOwned)",bigint ,V1,for_location,bigint,V1,transit_entrance FK Location,bigint  NULLABLE d=NULL,V1,transit_intercompany FK Location,bigint  NULLABLE d=NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gxbmraz.0oAU,COLUMN,ROW
